measure,location,sex,age,cause,name,metric,year,value,lastvalue
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,1996,925.3416124,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,1996,92.18507425,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,1995,176.8442914,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,1996,330.7966214,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,1993,1003.056595,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,1993,2275.904911,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,1993,1368.719348,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,1993,102.7892168,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,1995,1851.098831,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,1995,289.9196681,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,1995,379.9633073,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,1995,89.58140797,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,1997,317.7345109,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,1997,870.0411954,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,1997,92.49418103,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,1993,7.93661228,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,1993,576.575612,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,1993,84.03905825,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,1993,977.3244891,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,1993,2876.923284,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,1993,277.0745265,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,1993,233.2346577,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,1994,7.691975814,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,1994,554.4423043,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,1994,80.84063001,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,1997,159.7754872,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,1994,963.0583692,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,1994,2743.583521,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,1994,294.3300791,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,1994,236.542231,335.1616829
