year,name,value,lastValue
2011,High.body.mass.index,2233.503361,2305.85776
2012,High.body.mass.index,2227.144533,2305.85776
2013,High.body.mass.index,2231.617307,2305.85776
2014,High.body.mass.index,2233.388424,2305.85776
2015,High.body.mass.index,2257.095124,2305.85776
2016,High.body.mass.index,2285.97116,2305.85776
2017,High.body.mass.index,2305.85776,2305.85776
1990,High.fasting.plasma.glucose,2085.603321,1798.409664
1991,High.fasting.plasma.glucose,2049.157176,1798.409664
1992,High.fasting.plasma.glucose,2015.995929,1798.409664
1993,High.fasting.plasma.glucose,2005.327528,1798.409664
1994,High.fasting.plasma.glucose,1933.893181,1798.409664
1995,High.fasting.plasma.glucose,1928.590301,1798.409664
1996,High.fasting.plasma.glucose,1897.639838,1798.409664
1997,High.fasting.plasma.glucose,1887.73594,1798.409664
1998,High.fasting.plasma.glucose,1897.259899,1798.409664
1999,High.fasting.plasma.glucose,1884.627082,1798.409664
2000,High.fasting.plasma.glucose,1846.715277,1798.409664
2001,High.fasting.plasma.glucose,1805.168783,1798.409664
2002,High.fasting.plasma.glucose,1783.71564,1798.409664
2003,High.fasting.plasma.glucose,1757.539332,1798.409664
2004,High.fasting.plasma.glucose,1681.901944,1798.409664
2005,High.fasting.plasma.glucose,1644.488913,1798.409664
2006,High.fasting.plasma.glucose,1616.936586,1798.409664
2007,High.fasting.plasma.glucose,1599.159481,1798.409664
2008,High.fasting.plasma.glucose,1604.873362,1798.409664
2009,High.fasting.plasma.glucose,1576.056918,1798.409664
2010,High.fasting.plasma.glucose,1577.197262,1798.409664
2011,High.fasting.plasma.glucose,1565.339807,1798.409664
2012,High.fasting.plasma.glucose,1583.336605,1798.409664
2013,High.fasting.plasma.glucose,1612.187723,1798.409664
2014,High.fasting.plasma.glucose,1639.996502,1798.409664
2015,High.fasting.plasma.glucose,1691.596064,1798.409664
2016,High.fasting.plasma.glucose,1744.591763,1798.409664
2017,High.fasting.plasma.glucose,1798.409664,1798.409664
1990,High.LDL.cholesterol,2457.278903,693.7863155
1991,High.LDL.cholesterol,2355.190249,693.7863155
1992,High.LDL.cholesterol,2251.659658,693.7863155
1993,High.LDL.cholesterol,2195.81542,693.7863155
1994,High.LDL.cholesterol,2032.617771,693.7863155
1995,High.LDL.cholesterol,1969.833113,693.7863155
1996,High.LDL.cholesterol,1850.683225,693.7863155
1997,High.LDL.cholesterol,1740.082391,693.7863155
1998,High.LDL.cholesterol,1657.021617,693.7863155
1999,High.LDL.cholesterol,1556.993485,693.7863155
2000,High.LDL.cholesterol,1459.063328,693.7863155
2001,High.LDL.cholesterol,1372.852238,693.7863155
2002,High.LDL.cholesterol,1315.446417,693.7863155
2003,High.LDL.cholesterol,1256.558816,693.7863155
2004,High.LDL.cholesterol,1139.987432,693.7863155
2005,High.LDL.cholesterol,1070.726863,693.7863155
2006,High.LDL.cholesterol,999.6083295,693.7863155
2007,High.LDL.cholesterol,934.1366366,693.7863155
